CE,T2.Raw_Mean,None
NE,T2.Raw_Mean,None
Total,T2.Raw_Mean,None
CE,RCBV.Raw_Mean,None
NE,RCBV.Raw_Mean,None
Total,RCBV.Raw_Mean,None
CE,MD.Raw_Mean,None
NE,MD.Raw_Mean,None
Total,MD.Raw_Mean,None
CE,FA.Raw_Mean,None
NE,FA.Raw_Mean,None
Total,FA.Raw_Mean,None
CE,EPI.Raw_Mean,None
NE,EPI.Raw_Mean,None
Total,EPI.Raw_Mean,None
